用いる 	 を 道具を
する 	 で として に は 新疆ウイグル自治区では 新疆ウイグル自治区では あるとして 新疆ウイグル再教育キャンプに
いる 	 で として に は 新疆ウイグル自治区では 新疆ウイグル自治区では あるとして 新疆ウイグル再教育キャンプに
する 	 て と 予防拘禁していると 予防拘禁していると
報じる 	 が 内部文書であるが
られる 	 が 内部文書であるが
おる 	 が 内部文書であるが
使う 	 を AIを
送る 	 が に を コンピュータが 人間を 強制収容所に
なる 	 て て として に は 報じられており、 人権侵害は ないとして 国際問題に なっている。
いる 	 て て として に は 報じられており、 人権侵害は ないとして 国際問題に なっている。
恐れる 	 を 監視社会化を
起きる 	 が 香港民主化デモが
する 	 を 監視カメラを
する 	 が で と に は は 香港では、 香港では、 際は スマート街灯が 市民に 次々と
れる 	 が で と に は は 香港では、 香港では、 際は スマート街灯が 市民に 次々と
する 	 に は を 中国は AI監視技術を 世界各国に
おる 	 に は を 中国は AI監視技術を 世界各国に
する 	 が も を通じて （ITU）を通じて 中国が 国際標準化も
てる 	 が も を通じて （ITU）を通じて 中国が 国際標準化も
する 	 が に 人権侵害が 世界に
する 	 から から が て て など 輸出しており、 ことから ことが 人権団体などから 人権団体などから 懸念されている。
れる 	 から から が て て など 輸出しており、 ことから ことが 人権団体などから 人権団体などから 懸念されている。
いる 	 から から が て て など 輸出しており、 ことから ことが 人権団体などから 人権団体などから 懸念されている。
する 	 に 社会信用システムに
れる 	 に 社会信用システムに
する 	 で を 人工知能で ビッグデータを
決める 	 て を 活用して 適性を
する 	 を 格差を
繋がる 	 に は 制度は、 ことに
する 	 と 繋がると
ある 	 が 懸念が
認める 	 を 差別を
する 	 から が で は 欧州連合では 欧州連合では 5月から、 EU一般データ保護規則が
れる 	 から が で は 欧州連合では 欧州連合では 5月から、 EU一般データ保護規則が
達す 	 で に は 9割超で IBMは 8割に
ある 	 が で に対して は 達したのに対して Amazonは 6割で バイアスが
する 	 と あると
する 	 を 研究を
なる 	 が で と に は は マサチューセッツ工科大学が 精度で Megviiは 際は Amazonと 論争に
試みる 	 て は を 軍隊は、 自動化を 試みている。
いる 	 て は を 軍隊は、 自動化を 試みている。
する 	 を 「ファランクスCIWS」を
できる 	 により は を アメリカ海軍は ガトリング砲により 対艦ミサイルを
する 	 を 「アイアンドーム」を
する 	 を 標的を
する 	 を サムソンRCWSを
せる 	 を サムソンRCWSを
する 	 て て に は は を イスラエル軍は 境界線には 境界線には 稼働させて 人間を 射殺している。
いる 	 て て に は は を イスラエル軍は 境界線には 境界線には 稼働させて 人間を 射殺している。
生む 	 は を AIは 軍事能力を
変える 	 を 展開を
する 	 を 戦争を
せる 	 を 戦争を
決める 	 を 軍事バランスを
なる 	 に は 変化は ことに
ある 	 も 主張も
する 	 に に に の 1(哨戒機)のように 1(哨戒機)のように 戦闘指揮システムに 支援用に
れる 	 に に に の 1(哨戒機)のように 1(哨戒機)のように 戦闘指揮システムに 支援用に
ある 	 も ことも
する 	 が 研究チームが
する 	 に 一方的に
する 	 と は 「ALPHA」は、 勝利したと
れる 	 と は 「ALPHA」は、 勝利したと
する 	 は を AIプログラムは ファジィ制御を
おる 	 は を AIプログラムは ファジィ制御を
する 	 と は 処理能力は 必要と
介す 	 から を 観点から 判断を
出す 	 に を 開発禁止令を 2012年に
する 	 に に は は を アメリカ合衆国国防総省は、 2017年には 2017年には これを ものに
勝ち残る 	 が に 人工知能に 人間が
する 	 が て として 力として、 OODAループが 注目されている。
れる 	 が て として 力として、 OODAループが 注目されている。
いる 	 が て として 力として、 OODAループが 注目されている。
する 	 により は 軍事利用により 不安定化は
する 	 て と は 首脳らは、 加速すると 主張している。
いる 	 て と は 首脳らは、 加速すると 主張している。
する 	 で に 2015年に ブエノスアイレスで
れる 	 で に 2015年に ブエノスアイレスで
出す 	 が で により 人工知能国際合同会議で、 企業家らにより 公開書簡が
れる 	 が で により 人工知能国際合同会議で、 企業家らにより 公開書簡が
操る 	 を 銃火器を
続く 	 に 核兵器に
とらえる 	 と 革命と
られる 	 と 革命と
なる 	 に は 一部は 数年以内に
する 	 など に 選別攻撃などに 選別攻撃などに
れる 	 など に 選別攻撃などに 選別攻撃などに
なる 	 が と にとって は 開発競争が 人類にとって ものとは ものとは
記す 	 と ならないと
れる 	 と ならないと
求める 	 が て に は を 4月には 4月には ヒューマン・ライツ・ウォッチが、 禁止を 求めている。
いる 	 が て に は を 4月には 4月には ヒューマン・ライツ・ウォッチが、 禁止を 求めている。
行う 	 が で に は 11月には 11月には 国際連合で 公式専門家会議が
れる 	 が で に は 11月には 11月には 国際連合で 公式専門家会議が
めぐる 	 を 運用を
する 	 を 国際ルールを
盛り込む 	 に は は も 8月に 同会議は 採択するも 法的拘束力は
れる 	 に は は も 8月に 同会議は 採択するも 法的拘束力は
ある 	 に 状態に
評す 	 と も あるとも あるとも
れる 	 と も あるとも あるとも
いる 	 と も あるとも あるとも
する 	 に 核開発に
行う 	 て は を をめぐって 米国・中国・ロシアは 開発競争を 軍事利用をめぐって 行っている。
いる 	 て は を をめぐって 米国・中国・ロシアは 開発競争を 軍事利用をめぐって 行っている。
する 	 で に に 6月に 自律飛行実験で 飛行実験に
する 	 を 記録を
する 	 を 都市を
する 	 て に は も 更新して 5月には 5月には 映像も
使う 	 を 自律無人艇を
行う 	 を 試験を
呼ぶ 	 と スウォームと
れる 	 と スウォームと
する 	 が で など に に は 6月には 6月には 行うなど 統合運用）で 中国が 急速に
おる 	 が で など に に は 6月には 6月には 行うなど 統合運用）で 中国が 急速に
追い付く 	 に アメリカに
ある 	 が 可能性が
する 	 について ことについて
備える 	 に 将来に
ある 	 が で は アメリカ側では アメリカ側では 必要が
する 	 て て は も 中国は 進展しており、 主張も されている。
れる 	 て て は も 中国は 進展しており、 主張も されている。
いる 	 て て は も 中国は 進展しており、 主張も されている。
与える 	 に は を 軍用AI開発は 政界に 危機感を
する 	 で など に 設立などで 設立などで 中国人民解放軍に
いる 	 で など に 設立などで 設立などで 中国人民解放軍に
する 	 て と を 協力していると 協力していると Googleを
する 	 と トランプ大統領と
限る 	 に 中国に
する 	 て に は は CEOサンダー・ピチャイは 面談して 成果は 人々に
れる 	 て に は は CEOサンダー・ピチャイは 面談して 成果は 人々に
いる 	 て に は は CEOサンダー・ピチャイは 面談して 成果は 人々に
する 	 て と 開放されていると 開放されていると
なる 	 に は ドナルド・トランプ大統領は 事態に
する 	 が に Googleが 軍事利用に
行う 	 を 「メイヴン計画」を
いる 	 を 「メイヴン計画」を
する 	 が で に は アメリカでは アメリカでは ことが 社員に
れる 	 が で に は アメリカでは アメリカでは ことが 社員に
おる 	 が で に は アメリカでは アメリカでは ことが 社員に
する 	 に 同様に
れる 	 に 同様に
する 	 に 中国政府に
用いる 	 を 人工知能を
する 	 は 人権侵害は
誓う 	 が Googleが
受ける 	 て で で と とともに は を 暴露されており、 公聴会では、 公聴会では、 「」とともに、 拒否すると 整合性で 追及を
関わる 	 が に 標的選択支援アルゴリズムに AI研究者が
する 	 と 関わったと
れる 	 と 関わったと
する 	 と は 際は モデリング」と
する 	 が を Microsoftが 共同研究を
呼ぶ 	 に も を 際も 同様に 波紋を
する 	 が によって を 中国が AIによって 監視国家を
いる 	 が によって を 中国が AIによって 監視国家を
する 	 で に を 中東で 無人攻撃機を 大量に
せる 	 で に を 中東で 無人攻撃機を 大量に
する 	 て で に 拡散させて AIで 自律的に
する 	 だけ て も 構築しているだけでなく、 構築しているだけでなく、 ドローン兵器も
いる 	 だけ て も 構築しているだけでなく、 構築しているだけでなく、 ドローン兵器も
鳴らす 	 に に は を 11月に マーク・エスパー国防長官は ことに 警鐘を
する 	 は 中国は
てる 	 は 中国は
する 	 と 実用化してると
れる 	 と 実用化してると
する 	 を 個人を
なりすます 	 たり で 攻撃したり ディープフェイクで
操る 	 たり により を なりすましたり、 ボット投稿により 世論を
挙げる 	 が て 懸念が 挙げられている。
られる 	 が て 懸念が 挙げられている。
いる 	 が て 懸念が 挙げられている。
する 	 で を 人工知能プロジェクトを 倫理面で
する 	 で に ために 哲学者・政策立案者・経済学者・テクノロジスト等で
れる 	 で に ために 哲学者・政策立案者・経済学者・テクノロジスト等で
する 	 を AI倫理委員会を
する 	 と は Googleは 設置すると
する 	 を 反科学・反マイノリティ・地球温暖化懐疑論等を
含む 	 に は も 倫理委員会には 倫理委員会には 人物も
れる 	 に は も 倫理委員会には 倫理委員会には 人物も
おる 	 に は も 倫理委員会には 倫理委員会には 人物も
する 	 て は を 含まれており、 Google社員らは 解任を
できる 	 に 「期待どおりに
する 	 が ことが
する 	 が で は を Googleは 倫理委員会が 理由で、 解散を
する 	 に を 東洋哲学を AIに
せる 	 に を 東洋哲学を AIに
応じる 	 に テーマに
挙げる 	 は を 井口尊仁は プロジェクトを
見いだす 	 に を ものに 霊的存在を
ある 	 が で アニミズムで、 文化が
語る 	 て と に 応じて、 あります」と 立石従寛に
やる 	 を 悟りを
やる 	 て に やって AIに
せる 	 て に やって AIに
論じる 	 か を やらせるか」を やらせるか」を
通じる 	 て に は も アニミズム的人工知能論は 哲学塾東洋哲学篇』にも 哲学塾東洋哲学篇』にも 通じている。
いる 	 て に は も アニミズム的人工知能論は 哲学塾東洋哲学篇』にも 哲学塾東洋哲学篇』にも 通じている。
する 	 と を AIを 神と
する 	 て は を アンソニー゠レバンドウスキーは 道)」を 創立している。
いる 	 て は を アンソニー゠レバンドウスキーは 道)」を 創立している。
基づく 	 に （AI）に
する 	 を 実現を
する 	  
する 	 を を通して 崇拝を通して 社会を
する 	 に ことに
する 	 と に は 使命は こと」と 抽象的に
れる 	 と に は 使命は こと」と 抽象的に
おる 	 と に は 使命は こと」と 抽象的に
関連付ける 	 と など 歴史などと 歴史などと
する 	 て て は 表現されており、 海外メディアは 関連付けて
する 	 が を レバンドウスキーが 機密情報を
訴える 	 を ことを
行う 	 を 裁判を
いる 	 を 裁判を
する 	 ずつ は を ひとつずつ、 我々は 世界を
する 	 と に対し （トラビス゠カラニック）に対し 征服するんだ」と
示す 	 て は は を Waymoは、 レバンドウスキーは 振る舞いを 示している。
いる 	 て は は を Waymoは、 レバンドウスキーは 振る舞いを 示している。
なる 	 て て に は も 釈徹宗は 線引きも 不明瞭になってきています。 不明瞭になってきています。 不明瞭になってきています。
くる 	 て て に は も 釈徹宗は 線引きも 不明瞭になってきています。 不明瞭になってきています。 不明瞭になってきています。
いる 	 て て に は も 釈徹宗は 線引きも 不明瞭になってきています。 不明瞭になってきています。 不明瞭になってきています。
述べる 	 て と 」と 述べている。
いる 	 て と 」と 述べている。
よる 	 に 内田樹に
する 	 て は ば を よれば、 哲学者は 話を している。
いる 	 て は ば を よれば、 哲学者は 話を している。
いう 	 と 」と
言う 	 が 発明家レイ・カーツワイルが
する 	 が 哲学者ジョン・サールが
よる 	 に ダニエル・デネットに
できる 	 が によって 意識が 形式論理システムによって
する 	 て と と は よると、 思考実験は、 実現できないと 主張している。
いる 	 て と と は よると、 思考実験は、 実現できないと 主張している。
語る 	 を 『科学を
する 	 と 科学と
いる 	 と 科学と
する 	 か が て に において は は を ことか』において ことか』において 須藤靖は、 （科学哲学）が、 実際には 実際には ことを 指摘している。
いる 	 か が て に において は は を ことか』において ことか』において 須藤靖は、 （科学哲学）が、 実際には 実際には ことを 指摘している。
する 	 を 問題を
くる 	 を 問題を
する 	 に （コンピュータ科学）・人工知能研究開発等に
残す 	 も を 何も 成果を
くる 	 も を 何も 成果を
する 	 て て て と は 関連して、 フランシス・クリックは 残してこなかった」と 残してこなかった」と 批判している。
いる 	 て て て と は 関連して、 フランシス・クリックは 残してこなかった」と 残してこなかった」と 批判している。
過ぎる 	 に は 哲学は 学問・科学に
する 	 て と において 観点において、 過ぎない、と 評価されている。
れる 	 て と において 観点において、 過ぎない、と 評価されている。
いる 	 て と において 観点において、 過ぎない、と 評価されている。
する 	 に クリックに
まじる 	 の 私の
なる 	 に は 「これは 愚痴に
思う 	 が と という は なるが、 思想家というのは 思想家というのは 『暇』だと
述べる 	 て と は 澤口俊之は、 思う」と 述べている。
いる 	 て と は 澤口俊之は、 思う」と 述べている。
始まる 	 から は 哲学は （スコレー）から
伝える 	 が と 始まったと アリストテレスが
おる 	 が と 始まったと アリストテレスが
言う 	 て で と は は 伝えており、 的外れではないと、 的外れではないと、 的外れではないと、 野家啓一は
違う 	 と は 科学とは 科学とは
語る 	 て で と は を 哲学者は、 日常的言語で 「宇宙」を 語ろうとしてきた。 語ろうとしてきた。
する 	 て で と は を 哲学者は、 日常的言語で 「宇宙」を 語ろうとしてきた。 語ろうとしてきた。
くる 	 て で と は を 哲学者は、 日常的言語で 「宇宙」を 語ろうとしてきた。 語ろうとしてきた。
する 	 て は を 理論物理学者ディラックは、 哲学者を 信用していなかった。
いる 	 て は を 理論物理学者ディラックは、 哲学者を 信用していなかった。
見る 	 が ディラックが
含める 	 を ウィトゲンシュタインを
する 	 さえ て どころか 量子力学どころか、 概念さえ 理解していない。
いる 	 さえ て どころか 量子力学どころか、 概念さえ 理解していない。
使う 	 を 日常的言語を
行う 	 を 意思疎通を
できる 	 て は も 使っても、 使っても、 ことは
する 	 て と 考えだと されている。
れる 	 て と 考えだと されている。
いる 	 て と 考えだと されている。
創る 	 は 『人工知能は
れる 	 は 『人工知能は
よる 	 に 創られる』に
伴う 	 に 発展に
論じる 	 が て で 伴って 哲学が 一部で
られる 	 が て で 伴って 哲学が 一部で
いる 	 が て で 伴って 哲学が 一部で
言う 	 と 特異点と
する 	 と シンギュラリティと
超える 	 における を 議論における 脳を
できる 	 が 言明自体が
いる 	 が 言明自体が
記す 	 て て と は 前掲書は 定義できていない」と 定義できていない」と 記している。
いる 	 て て と は 前掲書は 定義できていない」と 定義できていない」と 記している。
捉える 	 として を 脳を 「デジタル情報処理システム」として
見る 	 から 観点から
起こる 	 かも に は ば 確かに、 見れば、 シンギュラリティは 起こり得るかもしれない。
得る 	 かも に は ば 確かに、 見れば、 シンギュラリティは 起こり得るかもしれない。
しれる 	 かも に は ば 確かに、 見れば、 シンギュラリティは 起こり得るかもしれない。
する 	 が アナログが
示す 	 が て で は 脳は ことが、 観察結果で 示されている。
れる 	 が て で は 脳は ことが、 観察結果で 示されている。
いる 	 が て で は 脳は ことが、 観察結果で 示されている。
よる 	 に 前掲書に
する 	 が で は 神経膜では 神経膜では 「ノイズ」が
生み出す 	 が によって アナログ量によって 「カオス」が
れる 	 が によって アナログ量によって 「カオス」が
いる 	 が によって アナログ量によって 「カオス」が
する 	 で を 状況を デジタルで
考える 	 て と と よると、 困難」と 考えられている。
られる 	 て と と よると、 困難」と 考えられている。
いる 	 て と と よると、 困難」と 考えられている。
述べる 	 で と は は 田中一之は 専門家ではない」と 専門家ではない」と 専門家ではない」と
おる 	 で と は は 田中一之は 専門家ではない」と 専門家ではない」と 専門家ではない」と
基づく 	 に 自由連想に
いる 	 に 自由連想に
する 	 が て て て と は 述べており、 トルケル゠フランセーンは、 多くが 基づいている」と 基づいている」と 批判している。
いる 	 が て て て と は 述べており、 トルケル゠フランセーンは、 多くが 基づいている」と 基づいている」と 批判している。
よる 	 に 田中に
書く 	 が について 不完全性定理について 哲学者が
する 	 が に 本が、 頃に
れる 	 が に 本が、 頃に
いる 	 が に 本が、 頃に
する 	 が て と によって は よると、 書店販売されていたが、 書店販売されていたが、 本は 専門誌によって
れる 	 が て と によって は よると、 書店販売されていたが、 書店販売されていたが、 本は 専門誌によって
読む 	  
する 	 を 勘違いを
する 	 が て について 高かったが、 （不動点定理）について、 説明していた。
いる 	 が て について 高かったが、 （不動点定理）について、 説明していた。
見る 	 など に は も 間違いは 入門書などにも 入門書などにも 入門書などにも
られる 	 など に は も 間違いは 入門書などにも 入門書などにも 入門書などにも
よる 	 に フランセーンに
起こる 	 に は 誤解・誤用は 一般に
おる 	 に は 誤解・誤用は 一般に
する 	 て て で ば も よれば、 起こっており、 神学でも 神学でも 乱用されている。
れる 	 て て で ば も よれば、 起こっており、 神学でも 神学でも 乱用されている。
いる 	 て て で ば も よれば、 起こっており、 神学でも 神学でも 乱用されている。
示す 	 が に 1931年に ゲーデルが
語る 	 を 『科学を
よる 	 か に ことか』に ことか』に
扱う 	 の 学問の
する 	 が 問題が
れる 	 が 問題が
する 	  
異なる 	 も 哲学も
する 	 と に を よると、 問題を 研究するようになった。
なる 	 と に を よると、 問題を 研究するようになった。
言う 	 と は は これは 進歩」だと 須藤は
含む 	 を 要素を
扱う 	 に を 「大きな」問題を 哲学的・統一的に
する 	 で について は 一方で、 伊勢田哲治は、 天文学について
扱う 	 で は を 天文学では 天文学では 〔哲学的〕問題を
なる 	 で は を 天文学では 天文学では 〔哲学的〕問題を
扱う 	 し で も を 扱わなくなりましたし、 物理学でも 物理学でも 問題を
述べる 	 と 扱わない」と
ある 	 か が が に 「その通りですが、 それ自体に 何か 問題が
返す 	 か て と に対し は 伊勢田に対し、 須藤は あるのでしょうか」と あるのでしょうか」と 返している。
いる 	 か て と に対し は 伊勢田に対し、 須藤は あるのでしょうか」と あるのでしょうか」と 返している。
述べる 	 に の は も 須藤は 次のようにも 次のようにも 次のようにも
論じる 	 に 哲学的に
られる 	 に 哲学的に
いる 	 に 哲学的に
取り上げる 	 を 言葉を
する 	 に を 言葉を 具体的に
述べる 	 て と 取り上げて、 不可能です」と
おる 	 て と 取り上げて、 不可能です」と
持つ 	 が を 「哲学者が 興味を
いる 	 が を 「哲学者が 興味を
違う 	 が と は 定義が 物理学者とは 物理学者とは
する 	 て て と は 須藤は、 述べており、 確かでしょう」と している。
いる 	 て て と は 須藤は、 述べており、 確かでしょう」と している。
思う 	  
しれる 	 という は 違いというのは 違いというのは
述べる 	 かも て と は 伊勢田は、 大きいのかもしれません」と 大きいのかもしれません」と 述べている。
いる 	 かも て と は 伊勢田は、 大きいのかもしれません」と 大きいのかもしれません」と 述べている。
行う 	 て で は まで を 対談で 須藤は 「これまで 議論を 行ってきました。
くる 	 て で は まで を 対談で 須藤は 「これまで 議論を 行ってきました。
なる 	 で は おかげで、 違いは
思う 	 と に は 明らかになったとは 明らかになったとは 明らかになったとは
つく 	 か が が 思いますが、 何か 決着が
する 	 か と つくのでしょうか？」と つくのでしょうか？」と
つく 	 は 「決着は
答える 	 て と ね は 伊勢田は つかないでしょうね」と つかないでしょうね」と 答えている。
いる 	 て と ね は 伊勢田は つかないでしょうね」と つかないでしょうね」と 答えている。
